data_log,
Timestamp,HallEffectState
1964,1
2477,1
2989,1
3501,1
4013,1
4525,1
5037,1
5549,1
6061,1
6573,1
7085,1
7597,1
8109,1
8621,1
9133,1
9645,1
10157,1
10669,1
11181,1
11693,1
12205,1
12717,1
13229,1
13741,1
14253,1
14765,1
15277,1
15789,1
16301,1
16813,1
17325,1
17837,1
18349,1
18862,1
19374,1
19887,1
20400,1
20913,1
21426,1
21939,404
22452,404
22965,1
23478,1
23990,1
24502,404
25015,404
25528,1
26048,1
26561,1
27074,404
27587,404
28100,1
28612,1
29125,404
29637,404
30154,1
30666,1
31179,1
31691,1
32204,1
32716,1
33229,1
33741,1
34254,1
34766,1
35779,1
36291,1
36804,1
37316,1
37829,1
38341,1
38854,1
39366,1
39880,1
40392,1
40905,1
41417,1
41930,1
42442,1
1914,1
2426,1
2939,1
3450,1
3963,1
4475,1
4988,1
5500,1
6013,1
6525,1
7038,1
7550,1
8063,1
8574,1
9087,1
9599,1
10112,1
10624,1
11137,1
11649,1
12162,1
12673,1
13186,1
13697,1
14210,1
14721,1
15234,1
15745,1
16258,1
16770,1
17283,1
17794,1
18305,1
18816,1
19331,1
19843,1
20355,1
20868,1
21381,1
21894,1
22407,1
22920,1
23432,1
23945,1
24457,1
24970,1
25482,1
25995,1
26507,1
27020,1
27532,1
28044,1
28556,1
29068,1
29580,1
30092,1
30604,1
31117,1
31629,1
32142,1
32654,1
33167,1
33679,1
34192,1
34704,1
35217,1
35729,1
36241,1
36753,1
37266,1
37778,1
38291,1
38803,1
39316,1
39828,1
40341,1
40853,1
41366,1
41878,1
42391,1
42903,1
43416,1
43928,1
44440,1
44952,1
45464,1
45976,1
46488,1
47000,1
47512,1
48024,1
48541,1
49060,1
49573,1
50085,1
50598,1
51110,1
51623,1
52135,1
52648,1
53160,1
53673,1
54185,1
54698,1
55210,1
55723,1
56235,1
56748,1
57260,1
57773,1
58285,1
58798,1
59310,1
59823,1
60335,1
60848,1
61359,1
61872,1
62384,1
62897,1
63409,1
63922,1
64434,1
64947,1
65459,1
65972,1
66484,1
66997,1
67509,1
68022,1
68534,1
69047,1
69559,1
70072,1
70584,1
71097,1
71609,1
72122,1
72634,1
73147,1
73659,1
74172,1
74683,1
75196,1
75786,1
76299,1
76811,1
77324,1
77840,1
78353,1
78865,1
79378,1
79890,1
80403,1
80915,1
81428,1
81940,1
82453,1
82965,1
83478,1
83990,1
84503,1
85015,1
85528,1
86040,1
86553,1
87065,1
87578,1
88090,1
88603,1
89115,1
89628,1
90140,1
90653,1
91165,1
91678,1
92190,1
92703,1
93214,1
93727,1
94239,1
94752,1
95263,1
95776,1
96288,1
96801,1
97313,1
97826,1
98338,1
98851,1
99363,1
99876,1
100387,1
100900,1
101411,1
101924,1
102435,1
102948,1
103460,1
103973,1
104485,1
104998,1
105510,1
106022,1
106533,1
107046,1
107557,1
108070,1
108581,1
109094,1
109605,1
110118,1
110630,1
111143,1
111655,1
112168,1
112680,1
113200,1
113712,1
114225,1
114736,1
115249,1
115760,1
116273,1
116784,1
117297,1
117808,1
118321,1
118832,1
119345,1
119856,1
120369,1
120880,1
121393,1
121904,1
122417,1
122928,1
123441,1
123953,1
124466,1
124977,1
125490,1
126001,1
126514,1
127026,1
127539,1
128050,1
128563,1
129074,1
129587,1
130098,1
130611,1
131122,1
131635,1
132147,1
132663,1
133174,1
133685,1
134196,1
134707,1
135219,1
135732,1
136245,1
136758,1
137270,1
137782,1
138295,1
138808,1
139321,1
139833,1
140346,1
140858,1
141371,1
141883,1
142396,1
142908,1
143421,1
143933,1
144446,1
144958,1
145471,1
145983,1
146495,1
147007,1
147520,1
148032,1
148545,1
149057,1
149569,1
150081,1
150593,1
151105,1
151618,1
152130,1
152642,1
153154,1
153667,1
154179,1
154691,1
155204,1
155717,1
156229,1
156742,1
157254,1
